kind,name,id,time,team,combination_id
End,Collect,Sense3,1188565455213098.0,KrIptonLab-csi,15
Start,ComputeScalar,Sense3,1188565455569565.0,KrIptonLab-csi,15
End,Collect,Pride3,1188565458269316.0,KrIptonLab-csi,15
Start,ComputeScalar,Pride3,1188565458386954.0,KrIptonLab-csi,15
Start,ComputeScalar,Pride3_Sense3,1188565458613940.0,KrIptonLab-csi,15
End,ComputeScalar,Sense3,1188565463020232.0,KrIptonLab-csi,15
End,ComputeScalar,Pride3,1188565465147189.0,KrIptonLab-csi,15
End,ComputeScalar,Pride3_Sense3,1188565469821522.0,KrIptonLab-csi,15
Start,ComputeCosine,Pride3_Sense3,1188565470769336.0,KrIptonLab-csi,15
End,ComputeCosine,Pride3_Sense3,1188565470834471.0,KrIptonLab-csi,15
Start,Tokenize,Pride3,1188565524171836.0,KrIptonLab-csi,16
Start,Tokenize,Sense4,1188565524633703.0,KrIptonLab-csi,16
End,Tokenize,Pride3,1188565565408282.0,KrIptonLab-csi,16
Start,Collect,Pride3,1188565565543684.0,KrIptonLab-csi,16
End,Collect,Pride3,1188565573861635.0,KrIptonLab-csi,16
Start,ComputeScalar,Pride3,1188565573979668.0,KrIptonLab-csi,16
End,ComputeScalar,Pride3,1188565580047497.0,KrIptonLab-csi,16
End,Tokenize,Sense4,1188565594058651.0,KrIptonLab-csi,16
Start,Collect,Sense4,1188565594174315.0,KrIptonLab-csi,16
End,Collect,Sense4,1188565612872040.0,KrIptonLab-csi,16
Start,ComputeScalar,Sense4,1188565612983756.0,KrIptonLab-csi,16
Start,ComputeScalar,Pride3_Sense4,1188565612997573.0,KrIptonLab-csi,16
End,ComputeScalar,Pride3_Sense4,1188565622414925.0,KrIptonLab-csi,16
End,ComputeScalar,Sense4,1188565626533043.0,KrIptonLab-csi,16
Start,ComputeCosine,Pride3_Sense4,1188565627114127.0,KrIptonLab-csi,16
End,ComputeCosine,Pride3_Sense4,1188565627155577.0,KrIptonLab-csi,16
Start,Tokenize,Pride3,1188565644888512.0,KrIptonLab-csi,17
Start,Tokenize,Sense5,1188565645402487.0,KrIptonLab-csi,17
End,Tokenize,Pride3,1188565688035983.0,KrIptonLab-csi,17
Start,Collect,Pride3,1188565688773391.0,KrIptonLab-csi,17
End,Collect,Pride3,1188565697343592.0,KrIptonLab-csi,17
Start,ComputeScalar,Pride3,1188565697733614.0,KrIptonLab-csi,17
End,ComputeScalar,Pride3,1188565705248626.0,KrIptonLab-csi,17
End,Tokenize,Sense5,1188565821401107.0,KrIptonLab-csi,17
Start,Collect,Sense5,1188565821528614.0,KrIptonLab-csi,17
End,Collect,Sense5,1188565847661215.0,KrIptonLab-csi,17
Start,ComputeScalar,Sense5,1188565847768194.0,KrIptonLab-csi,17
Start,ComputeScalar,Pride3_Sense5,1188565847778853.0,KrIptonLab-csi,17
End,ComputeScalar,Pride3_Sense5,1188565857017380.0,KrIptonLab-csi,17
End,ComputeScalar,Sense5,1188565874082779.0,KrIptonLab-csi,17
Start,ComputeCosine,Pride3_Sense5,1188565874896770.0,KrIptonLab-csi,17
End,ComputeCosine,Pride3_Sense5,1188565874943747.0,KrIptonLab-csi,17
Start,Tokenize,Pride3,1188565908933615.0,KrIptonLab-csi,18
Start,Tokenize,Sense6,1188565909358375.0,KrIptonLab-csi,18
End,Tokenize,Pride3,1188565966972946.0,KrIptonLab-csi,18
Start,Collect,Pride3,1188565967452577.0,KrIptonLab-csi,18
End,Collect,Pride3,1188565975933563.0,KrIptonLab-csi,18
Start,ComputeScalar,Pride3,1188565976040148.0,KrIptonLab-csi,18
End,ComputeScalar,Pride3,1188565982437995.0,KrIptonLab-csi,18
End,Tokenize,Sense6,1188567070133144.0,KrIptonLab-csi,18
Start,Collect,Sense6,1188567070247623.0,KrIptonLab-csi,18
End,Collect,Sense6,1188567135754201.0,KrIptonLab-csi,18
Start,ComputeScalar,Sense6,1188567135845785.0,KrIptonLab-csi,18
Start,ComputeScalar,Pride3_Sense6,1188567135860391.0,KrIptonLab-csi,18
End,ComputeScalar,Pride3_Sense6,1188567143741739.0,KrIptonLab-csi,18
End,ComputeScalar,Sense6,1188567176282451.0,KrIptonLab-csi,18
Start,ComputeCosine,Pride3_Sense6,1188567176445486.0,KrIptonLab-csi,18
End,ComputeCosine,Pride3_Sense6,1188567176513779.0,KrIptonLab-csi,18
Start,Tokenize,Pride4,1188567230574736.0,KrIptonLab-csi,19
Start,Tokenize,Sense1,1188567231028708.0,KrIptonLab-csi,19
End,Tokenize,Sense1,1188567243672815.0,KrIptonLab-csi,19
Start,Collect,Sense1,1188567243786900.0,KrIptonLab-csi,19
End,Collect,Sense1,1188567246409279.0,KrIptonLab-csi,19
Start,ComputeScalar,Sense1,1188567246480335.0,KrIptonLab-csi,19
End,ComputeScalar,Sense1,1188567248021471.0,KrIptonLab-csi,19
End,Tokenize,Pride4,1188567290821949.0,KrIptonLab-csi,19
Start,Collect,Pride4,1188567290926955.0,KrIptonLab-csi,19
End,Collect,Pride4,1188567304994165.0,KrIptonLab-csi,19
Start,ComputeScalar,Pride4,1188567305225888.0,KrIptonLab-csi,19
Start,ComputeScalar,Pride4_Sense1,1188567305380633.0,KrIptonLab-csi,19
End,ComputeScalar,Pride4_Sense1,1188567318491739.0,KrIptonLab-csi,19
End,ComputeScalar,Pride4,1188567319401262.0,KrIptonLab-csi,19
Start,ComputeCosine,Pride4_Sense1,1188567320208543.0,KrIptonLab-csi,19
End,ComputeCosine,Pride4_Sense1,1188567320273283.0,KrIptonLab-csi,19
Start,Tokenize,Pride4,1188567358732999.0,KrIptonLab-csi,20
Start,Tokenize,Sense2,1188567361288269.0,KrIptonLab-csi,20
End,Tokenize,Sense2,1188567380863541.0,KrIptonLab-csi,20
Start,Collect,Sense2,1188567380973284.0,KrIptonLab-csi,20
End,Collect,Sense2,1188567384817835.0,KrIptonLab-csi,20
Start,ComputeScalar,Sense2,1188567384926393.0,KrIptonLab-csi,20
End,ComputeScalar,Sense2,1188567388516719.0,KrIptonLab-csi,20
End,Tokenize,Pride4,1188567448371148.0,KrIptonLab-csi,20
Start,Collect,Pride4,1188567448758406.0,KrIptonLab-csi,20
End,Collect,Pride4,1188567471995060.0,KrIptonLab-csi,20
Start,ComputeScalar,Pride4,1188567472212572.0,KrIptonLab-csi,20
Start,ComputeScalar,Pride4_Sense2,1188567472882872.0,KrIptonLab-csi,20
End,ComputeScalar,Pride4_Sense2,1188567483315148.0,KrIptonLab-csi,20
End,ComputeScalar,Pride4,1188567486389130.0,KrIptonLab-csi,20
Start,ComputeCosine,Pride4_Sense2,1188567487208254.0,KrIptonLab-csi,20
End,ComputeCosine,Pride4_Sense2,1188567487262335.0,KrIptonLab-csi,20
Start,Tokenize,Pride4,1188567660211053.0,KrIptonLab-csi,21
Start,Tokenize,Sense3,1188567664858937.0,KrIptonLab-csi,21
End,Tokenize,Sense3,1188567707816923.0,KrIptonLab-csi,21
Start,Collect,Sense3,1188567708219182.0,KrIptonLab-csi,21
End,Collect,Sense3,1188567716062634.0,KrIptonLab-csi,21
Start,ComputeScalar,Sense3,1188567716164876.0,KrIptonLab-csi,21
End,ComputeScalar,Sense3,1188567723098015.0,KrIptonLab-csi,21
End,Tokenize,Pride4,1188567740647782.0,KrIptonLab-csi,21
Start,Collect,Pride4,1188567740728708.0,KrIptonLab-csi,21
End,Collect,Pride4,1188567755071854.0,KrIptonLab-csi,21
Start,ComputeScalar,Pride4,1188567755163438.0,KrIptonLab-csi,21
Start,ComputeScalar,Pride4_Sense3,1188567755176464.0,KrIptonLab-csi,21
End,ComputeScalar,Pride4_Sense3,1188567765856649.0,KrIptonLab-csi,21
End,ComputeScalar,Pride4,1188567767445156.0,KrIptonLab-csi,21
Start,ComputeCosine,Pride4_Sense3,1188567768071637.0,KrIptonLab-csi,21
End,ComputeCosine,Pride4_Sense3,1188567768112297.0,KrIptonLab-csi,21
Start,Tokenize,Pride4,1188567790176520.0,KrIptonLab-csi,22
Start,Tokenize,Sense4,1188567790204942.0,KrIptonLab-csi,22
End,Tokenize,Pride4,1188567866653429.0,KrIptonLab-csi,22
Start,Collect,Pride4,1188567867001211.0,KrIptonLab-csi,22
End,Tokenize,Sense4,1188567877099521.0,KrIptonLab-csi,22
Start,Collect,Sense4,1188567877194263.0,KrIptonLab-csi,22
End,Collect,Pride4,1188567886312389.0,KrIptonLab-csi,22
Start,ComputeScalar,Pride4,1188567886450160.0,KrIptonLab-csi,22
End,Collect,Sense4,1188567891484117.0,KrIptonLab-csi,22
Start,ComputeScalar,Sense4,1188567891585965.0,KrIptonLab-csi,22
Start,ComputeScalar,Pride4_Sense4,1188567891782554.0,KrIptonLab-csi,22
End,ComputeScalar,Pride4,1188567900533160.0,KrIptonLab-csi,22
End,ComputeScalar,Pride4_Sense4,1188567904125460.0,KrIptonLab-csi,22
End,ComputeScalar,Sense4,1188567904172436.0,KrIptonLab-csi,22
Start,ComputeCosine,Pride4_Sense4,1188567904247440.0,KrIptonLab-csi,22
End,ComputeCosine,Pride4_Sense4,1188567904279416.0,KrIptonLab-csi,22
Start,Tokenize,Pride4,1188567917971211.0,KrIptonLab-csi,23
Start,Tokenize,Sense5,1188567918230172.0,KrIptonLab-csi,23
End,Tokenize,Pride4,1188568170264361.0,KrIptonLab-csi,23
Start,Collect,Pride4,1188568170360682.0,KrIptonLab-csi,23
End,Collect,Pride4,1188568185598350.0,KrIptonLab-csi,23
Start,ComputeScalar,Pride4,1188568185697040.0,KrIptonLab-csi,23
End,ComputeScalar,Pride4,1188568199467392.0,KrIptonLab-csi,23
End,Tokenize,Sense5,1188568224462299.0,KrIptonLab-csi,23
Start,Collect,Sense5,1188568224558620.0,KrIptonLab-csi,23
End,Collect,Sense5,1188568253305705.0,KrIptonLab-csi,23
Start,ComputeScalar,Sense5,1188568253395315.0,KrIptonLab-csi,23
Start,ComputeScalar,Pride4_Sense5,1188568253406369.0,KrIptonLab-csi,23
End,ComputeScalar,Pride4_Sense5,1188568274075515.0,KrIptonLab-csi,23
End,ComputeScalar,Sense5,1188568278138367.0,KrIptonLab-csi,23
Start,ComputeCosine,Pride4_Sense5,1188568279413831.0,KrIptonLab-csi,23
End,ComputeCosine,Pride4_Sense5,1188568279466729.0,KrIptonLab-csi,23
Start,Tokenize,Pride4,1188568298466838.0,KrIptonLab-csi,24
Start,Tokenize,Sense6,1188568300546424.0,KrIptonLab-csi,24
End,Tokenize,Pride4,1188568390430112.0,KrIptonLab-csi,24
Start,Collect,Pride4,1188568390777105.0,KrIptonLab-csi,24
End,Collect,Pride4,1188568408967960.0,KrIptonLab-csi,24
